House,Greenhouse,Week,Date,Trap,Location,Count,Bed,Zone,Scout,Scouting Entry
16,Chepsito GH 16,2026-W11,2026-03-13,Chepsito - 1604,Indoor,1.0,,Chepsito GH 16 - KR - Bed 62 - Zone 7,200320,SCE-2026-51846
16,Chepsito GH 16,2026-W11,2026-03-13,Chepsito - 1605,Indoor,0,,Chepsito GH 16 - KR - Bed 116 - Zone 1,101394,SCE-2026-51842
13,Chepsito GH 13,2026-W11,2026-03-13,Chepsito - 1302,Indoor,0,,Chepsito GH 13 - KR - Bed 23 - Zone 3,200397,SCE-2026-51830
17,Chepsito GH 17,2026-W11,2026-03-13,Chepsito - 1704,Indoor,0,,Chepsito GH 17 - KR - Bed 43 - Zone 6,200320,SCE-2026-51829
13,Chepsito GH 13,2026-W11,2026-03-13,Chepsito - 1303,Indoor,0,,Chepsito GH 13 - KR - Bed 79 - Zone 3,200397,SCE-2026-51828
18,Chepsito GH 18,2026-W11,2026-03-13,Chepsito - 1804,Indoor,0,,Chepsito GH 18 - KR - Bed 256 - Zone 2,101394,SCE-2026-51827
18,Chepsito GH 18,2026-W11,2026-03-13,Chepsito - 1802,Indoor,0,,Chepsito GH 18 - KR - Bed 85 - Zone 2,200205,SCE-2026-51826
18,Chepsito GH 18,2026-W11,2026-03-13,Chepsito - 1803,Indoor,0,,Chepsito GH 18 - KR - Bed 229 - Zone 1,101394,SCE-2026-51825
17,Chepsito GH 17,2026-W11,2026-03-13,Chepsito - 1705,Indoor,0,,Chepsito GH 17 - KR - Bed 122 - Zone 3,200320,SCE-2026-51824
18,Chepsito GH 18,2026-W11,2026-03-13,Chepsito - 1801,Indoor,0,,Chepsito GH 18 - KR - Bed 45 - Zone 5,200205,SCE-2026-51823
18,Chepsito GH 18,2026-W11,2026-03-13,Chepsito - 1805,Indoor,0,,Chepsito GH 18 - KR - Bed 183 - Zone 8,101394,SCE-2026-51822
17,Chepsito GH 17,2026-W11,2026-03-13,Chepsito - 1705,Indoor,0,,Chepsito GH 17 - KR - Bed 122 - Zone 3,200320,SCE-2026-51821
13,Chepsito GH 13,2026-W11,2026-03-13,Chepsito - 1301,Indoor,0,,Chepsito GH 13 - KR - Bed 117 - Zone 4,200397,SCE-2026-51820
18,Chepsito GH 18,2026-W11,2026-03-13,Chepsito - 1806,Indoor,0,,Chepsito GH 18 - KR - Bed 121 - Zone 2,200205,SCE-2026-51819
17,Chepsito GH 17,2026-W11,2026-03-13,Chepsito - 1703,Indoor,0,,Chepsito GH 17 - KR - Bed 62 - Zone 8,200320,SCE-2026-51818
17,Chepsito GH 17,2026-W11,2026-03-13,Chepsito - 1702,Indoor,0,,Chepsito GH 17 - KR - Bed 169 - Zone 4,200320,SCE-2026-51817
14,Chepsito GH 14,2026-W11,2026-03-13,Chepsito - 1407,Indoor,0,,Chepsito GH 14 - KR - Bed 239 - Zone 4,200205,SCE-2026-51816
2,Chepsito GH 02,2026-W11,2026-03-13,Chepsito - 201,Indoor,0,,Chepsito GH 02 - KR - Bed 34 - Zone 2,200397,SCE-2026-51815
